seriesid,seriesname
1417,Australia in Pakistan Test Series, 1998
1418,Zimbabwe in Pakistan Test Series, 1998
5490,Ireland tour of Bangladesh, 2023
1419,England in Australia, 1998-99
1420,India in New Zealand Test Series, 1998-99
1421,West Indies in South Africa Test Series, 1998
1422,Pakistan in India Test Series, 1999
1423,India, Pakistan, Sri Lanka in Bangladesh/India/Pakistan/Sri Lanka, 1999
1424,South Africa in New Zealand Test Series, 1999
1425,Australia in West Indies, 1999
5917,ICC World Test Championship Final 2023
1358,New Zealand in England Test Series, 1994
1359,South Africa in England Test Series, 1994
1360,Pakistan in Sri Lanka Test Series, 1994
1361,Sri Lanka in Zimbabwe Test Series, 1994
1362,Australia in Pakistan Test Series, 1994
1363,West Indies in India Test Series, 1994
1364,New Zealand in South Africa Test Series, 1994-95
1365,Pakistan in South Africa Test Match, 1995
1366,England in Australia, 1994-95
1367,West Indies in New Zealand Test Series, 1995
1368,Pakistan in Zimbabwe Test Series, 1995
1369,South Africa in New Zealand, 1995
1370,Sri Lanka in New Zealand Test Series, 1995
1371,Australia in West Indies, 1995
1372,West Indies in England, 1995
1373,Sri Lanka in Pakistan Test Series, 1995
1374,South Africa in Zimbabwe Test Match, 1995
1375,New Zealand in India Test Series, 1995
1376,Pakistan in Australia Test Series, 1995
1377,Pakistan in New Zealand Test Match, 1995
1378,England in South Africa Test Series, 1995-96
1379,Zimbabwe in New Zealand Test Series, 1996
1380,Sri Lanka in Australia Test Series, 1995-96
1381,New Zealand in West Indies Test Series, 1996
1382,India in England Test Series, 1996
1383,Pakistan in England Test Series, 1996
1384,Zimbabwe in Sri Lanka Test Series, 1996
1385,Australia in India, 1996
1386,Zimbabwe in Pakistan Test Series, 1996
1387,New Zealand in Pakistan Test Series, 1996
1388,South Africa in India Test Series, 1996
5913,Ireland tour of Sri Lanka, 2023
1389,England in Zimbabwe Test Series, 1996
1390,India in South Africa Test Series, 1996-97
1391,West Indies in Australia, 1996-97
1392,England in New Zealand Test Series, 1997
1393,Sri Lanka in New Zealand Test Series, 1997
1394,Australia in South Africa Test Series, 1997
1395,India in West Indies Test Series, 1997
1396,Pakistan in Sri Lanka Test Series, 1997
1327,West Indies in England, 1991
1328,Sri Lanka in England Test Match, 1991
1329,Sri Lanka in Pakistan Test Series, 1991-92
1330,India in Australia Test Series, 1991-92
1331,England in New Zealand Test Series, 1992
1332,South Africa in West Indies Test Match, 1992
1333,Pakistan in England Test Series, 1992
1334,Australia in Sri Lanka Test Series, 1992
1335,India in Zimbabwe Test Match, 1992
1336,New Zealand in Zimbabwe Test Series, 1992
1337,New Zealand in Sri Lanka Test Series, 1992
1338,Pakistan in New Zealand Test Match, 1993
1339,India in South Africa Test Series, 1992-93
1340,West Indies in Australia, 1992-93
1341,England in India Test Series, 1993
1342,Australia in New Zealand, 1993
1343,Zimbabwe in India Test Match, 1993
1344,England in Sri Lanka Test Match, 1993
1345,Pakistan in West Indies Test Series, 1993
1346,India in Sri Lanka Test Series, 1993
1347,Australia in England, 1993
1348,South Africa in Sri Lanka Test Series, 1993
1349,New Zealand in Australia, 1993
6290,Pakistan tour of Australia, 2023-24
1350,West Indies in Sri Lanka Test Match, 1993
6297,West Indies tour of Australia, 2024
1351,Zimbabwe in Pakistan Test Series, 1993
1352,South Africa in Australia Test Series, 1993-94
1353,Sri Lanka in India Test Series, 1994
1354,Pakistan in New Zealand Test Series, 1994
1355,India in New Zealand Test Match, 1994
1356,Australia in South Africa Test Series, 1994
1357,England in West Indies, 1994
6351,Afghanistan tour of Bangladesh, 2023
6582,India tour of West Indies, 2023
1287,India in England Test Series, 1986
1288,New Zealand in England Test Series, 1986
1289,Australia in India Test Series, 1986
1290,West Indies in Pakistan Test Series, 1986
1291,Sri Lanka in India Test Series, 1986-87
6652,Pakistan tour of Sri Lanka, 2023
1292,England in Australia, 1986-87
1293,West Indies in New Zealand Test Series, 1987
1294,Pakistan in India Test Series, 1987
1295,New Zealand in Sri Lanka Test Series, 1987
1296,Pakistan in England Test Series, 1987
1297,England in Pakistan Test Series, 1987
6694,New Zealand tour of Bangladesh, 2023
1298,New Zealand in Australia, 1987
1299,West Indies in India Test Series, 1987-88
1300,England in Australia, 1988
1301,Sri Lanka in Australia Test Match, 1988
1302,England in New Zealand Test Series, 1988
1303,Pakistan in West Indies Test Series, 1988
1304,West Indies in England, 1988
1305,Sri Lanka in England Test Match, 1988
1306,Australia in Pakistan Test Series, 1988
1307,New Zealand in India Test Series, 1988
1308,West Indies in Australia, 1988-89
1309,Pakistan in New Zealand Test Series, 1989
1310,India in West Indies Test Series, 1989
1311,Australia in England, 1989
1312,New Zealand in Australia, 1989
1313,India in Pakistan Test Series, 1989
1314,Sri Lanka in Australia Test Series, 1989
1315,Pakistan in Australia Test Series, 1990
1316,India in New Zealand Test Series, 1990
1317,Australia in New Zealand, 1990
1318,England in West Indies, 1990
1319,New Zealand in England Test Series, 1990
1320,India in England Test Series, 1990
1321,New Zealand in Pakistan Test Series, 1990
1322,Sri Lanka in India Test Match, 1990
1323,West Indies in Pakistan Test Series, 1990
1324,England in Australia, 1990-91
1325,Sri Lanka in New Zealand Test Series, 1991
1326,Australia in West Indies, 1991
6780,West Indies tour of England, 2024
6787,Sri Lanka tour of England, 2024
1247,Australia in England, 1981
1248,Pakistan in Australia Test Series, 1981
1249,West Indies in Australia, 1981-82
1250,England in India Test Series, 1981-82
1251,England in Sri Lanka Test Match, 1982
1252,Australia in New Zealand Test Series, 1982
1253,Sri Lanka in Pakistan Test Series, 1982
1254,India in England Test Series, 1982
1255,Pakistan in England Test Series, 1982
1256,Sri Lanka in India Test Match, 1982
1257,Australia in Pakistan Test Series, 1982
1258,England in Australia, 1982-83
1259,India in Pakistan Test Series, 1982-83
6857,India tour of South Africa, 2023-24
1260,Sri Lanka in New Zealand Test Series, 1983
1261,Australia in Sri Lanka Test Match, 1983
1262,India in West Indies Test Series, 1983
1263,New Zealand in England Test Series, 1983
1264,Pakistan in India Test Series, 1983
6892,South Africa tour of New Zealand, 2024
1265,West Indies in India Test Series, 1983
6899,Australia tour of New Zealand, 2024
1266,Pakistan in Australia Test Series, 1983-84
1267,England in New Zealand Test Series, 1984
